ID,name,sort.name,Gender
8172,"Zenith Jones Brown / David Frome, Leslie Ford, Brenda Conrad (pseudonyms)","Brown, Zenith Jones",Female
5435,Rose Macaulay,"Macaulay, Rose",Female
9812,Yvette Guilbert,"Guilbert, Yvette",Female
457,Madeleine Rolland,"Rolland, Madeleine",Female
7812,Phyllis Blewitt,"Blewitt, Phyllis",Female
7639,"Margaret Mackworth, 2nd Viscountess Rhondda","Mackworth, Margaret Haig Thomas, Viscountess Rhondda",Female
6487,Naomi Royde-Smith,"Royde-Smith, Naomi Gwladys",Female
6275,Sarah Gertrude Millin,"Millin, Sarah Gertrude",Female
6612,Harriet Monroe,"Monroe, Harriet",Female
6779,Dodie Smith / C. L. Anthony (pseudonym),"Anthony, C. L.",Female
6075,Jane Austen,"Austen, Jane",Female
7547,Pauline Smith,"Smith, Pauline",Female
7933,Gordon Daviot,"Daviot, Gordon",Female
10941,Edith Craig,"Craig, Edith",Female
7164,Mabel Dodge Luhan,"Luhan, Mabel Dodge",Female
7419,Dorothy Osborne,"Osborne, Dorothy",Female
5830,Winifred Ashton / Clemence Dane (pseudonym),"Dane, Clemence",Female
8144,Marguerite Harrison,"Harrison, Marguerite",Female
7847,Angna Enters,"Enters, Angna",Female
6531,Alexandra Sutherland Orr,"Orr, Alexandra Sutherland",Female
6262,Rebecca West,"West, Rebecca",Female
6664,Eve Curie,"Curie, Eve",Female
6372,Ethel Mannin,"Mannin, Ethel",Female
6518,Storm Jameson,"Jameson, Storm",Female
6962,Dorothy Norman,"Norman, Dorothy",Female
9905,M. P. Willcocks,"Willcocks, M. P.",Female
5922,Djuna Barnes,"Barnes, Djuna",Female
5653,Willa Muir,"Muir, Willa",Female
9972,"Edith Vane-Tempest-Stewart, Marchioness of Londonderry","Vane-Tempest-Stewart, Edith",Female
6339,Maud I. Crofts,"Crofts, Maud I.",Female
6901,Caroline Gordon,"Gordon, Caroline",Female
7316,Tai-yi Lin / Anor Lin,"Lin, Tai-yi",Female
7188,L. W. Lockhart,L. W. Lockhart,Female
6958,Sarah Tyson Rorer,"Rorer, Sarah Tyson",Female
7696,Margaret L. Goldsmith,"Goldsmith, Margaret L.",Female
5603,Evelyn Scott,"Scott, Evelyn",Female
6873,Josephine Winslow Johnson,"Johnson, Josephine Winslow",Female
9797,Ada Harrison,"Harrison, Ada",Female
6608,Mignon Good Eberhart,"Eberhart, Mignon Good",Female
7801,Margaret Halsey,"Halsey, Margaret",Female
6747,Maud Margaret Key Stawell,"Stawell, Maud Margaret Key",Female
7428,Mathilde Vaerting,"Vaerting, Mathilde",Female
6451,Anne Green,"Green, Anne",Female
6020,Mazo de la Roche,"De la Roche, Mazo",Female
7199,Marie Stopes,"Stopes, Marie",Female
6110,Margaret Bourke-White,"Bourke-White, Margaret",Female
5861,Margaret Kennedy,"Kennedy, Margaret",Female
8159,Alexandra Kollontai / Алекса́ндра Миха́йловна Коллонта́й,"Kollontai, Alexandra",Female
10519,Lila Acheson Wallace,"Wallace, Lila Acheson",Female
6663,Juliana Horatia Ewing,"Ewing, Juliana Horatia",Female
7532,Jessie B. Rittenhouse,"Rittenhouse, Jessie B.",Female
5407,Margaret Deland,"Deland, Margaret",Female
6799,Martha Ostenso,"Ostenso, Martha",Female
7275,Mary Louise Aswell / Q. Patrick (pseudonym),"Aswell, Mary Louise",Female
10066,Lady Augusta Stanley,"Stanley, Augusta",Female
7425,Kay Cleaver Strahan,"Strahan, Kay Cleaver",Female
9940,Helen Rosen Woodward,"Woodward, Helen Rosen",Female
6411,Beryl de Zoete,"de Zoete, Beryl",Female
7312,Etsuko Sugimoto,"Sugimoto, Etsuko",Female
7493,Anne Brontë,"Brontë, Anne",Female
5685,Mary Butts,"Butts, Mary",Female
6131,Constance Garnett,"Garnett, Constance",Female
7386,Kate O'Brien,"O'Brien, Kate",Female
7358,Dorothy Baker,"Baker, Dorothy",Female
6955,Elizabeth Robins,"Robins, Elizabeth",Female
7162,Gwendolen Murphy,"Murphy, Gwendolen",Female
7082,Mary H. Lindsay,"Lindsay, Mary H.",Female
547,Iris Tree,"Tree, Iris",Female
5728,F. Tennyson Jesse,"Jesse, F. Tennyson",Female
6618,Alison Neilans,"Neilans, Alison",Female
7903,Margaret Lavington,"Lavington, Margaret",Female
6686,Muriel Hine,"Hine, Muriel",Female
6939,Kathleen Fitzpatrick,"Fitzpatrick, Kathleen",Female
7614,Edna Bryner,"Bryner, Edna",Female
7974,Georgia Sitwell,"Sitwell, Georgia",Female
6286,Taylor Caldwell,"Caldwell, Taylor",Female
5787,Rosamond Lehmann,"Lehmann, Rosamond",Female
7850,Eva Le Gallienne,"Le Gallienne, Eva",Female
6549,Vera Brittain,"Brittain, Vera",Female
7634,Janet Spens,"Spens, Janet",Female
6492,Gertrude Lowthian Bell,"Bell, Gertrude Lowthian",Female
10500,Beatrice M. Hinkle,"Hinkle, Beatrice M.",Female
8248,Irene Cooper Willis,"Willis, Irene Cooper",Female
6425,Lady Lucie Gertrude Jackson Raleigh,"Raleigh, Lucie Gertrude Jackson",Female
7483,Grace Eleanor Hadow,"Hadow, Grace Eleanor",Female
6123,Nora Waln,"Waln, Nora",Female
6976,Victoria Lincoln,"Lincoln, Victoria",Female
7406,Constance Holme,"Holme, Constance",Female
6066,Elizabeth Bowen,"Bowen, Elizabeth",Female
6252,Mary Roberts Rinehart,"Rinehart, Mary Roberts",Female
5719,Mary Webb,"Webb, Mary",Female
6601,Dorothy Wordsworth,"Wordsworth, Dorothy",Female
6954,Aphra Behn,"Behn, Aphra",Female
5828,Elisabeth Förster-Nietzsche,"Förster-Nietzsche, Elisabeth",Female
240,Maria McDonald Jolas / Miss Maria McDonald / Mrs. Eugene Jolas,"Jolas, Maria",Female
7682,Elizabeth Robins Pennell,"Pennell, Elizabeth Robins",Female
9706,Elizabeth Bisland,"Bisland, Elizabeth",Female
8151,Mary Sturt,"Sturt, Mary",Female
7828,Romola de Pulszky Nijinsky,"Nijinsky, Romola de Pulszky",Female
7223,Mrs. Wilson Woodrow,"Woodrow, Mrs. Wilson",Female
7531,Dorothy Van Doren,"Van Doren, Dorothy",Female
6313,Florence Emily Hardy,"Hardy, Florence Emily",Female
